State Code,State,Case Number,County Code,County,Monthid,Month,Day,Day of Month,Day of Week,Weekday,Year,Hour,Hour Range,Minute,Minute Digit,Latitude,Latitudeid,Longitude,Longitudeid,Light Conditionid,Light Condition,Weatherid,Weather Condition,Number of Deaths
37,North Carolina,370113,193,WILKES (193),1,January,14,14,5,Thursday,2021,10,10:00am-10:59am,29,29,36.10478333,36.10478333,-81.26261111,-81.26261111,1,Daylight,1,Clear,1
37,North Carolina,370114,193,WILKES (193),1,January,8,8,6,Friday,2021,21,9:00pm-9:59pm,49,49,36.18331944,36.18331944,-81.05065556,-81.05065556,2,Dark - Not Lighted,10,Cloudy,1
37,North Carolina,370115,193,WILKES (193),1,January,20,20,4,Wednesday,2021,23,11:00pm-11:59pm,46,46,36.09038611,36.09038611,-81.42106667,-81.42106667,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370116,195,WILSON (195),1,January,11,11,2,Monday,2021,8,8:00am-8:59am,41,41,35.69453889,35.69453889,-78.05120556,-78.05120556,1,Daylight,10,Cloudy,1
37,North Carolina,370117,129,NEW HANOVER (129),1,January,27,27,4,Wednesday,2021,6,6:00am-6:59am,42,42,34.19150278,34.19150278,-77.93066944,-77.93066944,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370118,37,CHATHAM (37),1,January,28,28,5,Thursday,2021,13,1:00pm-1:59pm,56,56,35.73331389,35.73331389,-79.44113889,-79.44113889,1,Daylight,1,Clear,1
37,North Carolina,370119,119,MECKLENBURG (119),1,January,29,29,6,Friday,2021,15,3:00pm-3:59pm,42,42,35.26208889,35.26208889,-80.85008333,-80.85008333,1,Daylight,1,Clear,1
37,North Carolina,370120,127,NASH (127),1,January,9,9,7,Saturday,2021,21,9:00pm-9:59pm,28,28,35.98229167,35.98229167,-77.83435278,-77.83435278,3,Dark - Lighted,1,Clear,1
37,North Carolina,370121,167,STANLY (167),1,January,1,1,6,Friday,2021,4,4:00am-4:59am,49,49,35.21555556,35.21555556,-80.46031111,-80.46031111,2,Dark - Not Lighted,2,Rain,1
37,North Carolina,370122,119,MECKLENBURG (119),1,January,17,17,1,Sunday,2021,16,4:00pm-4:59pm,12,12,35.23316944,35.23316944,-80.87620556,-80.87620556,1,Daylight,1,Clear,1
37,North Carolina,370123,139,PASQUOTANK (139),1,January,19,19,3,Tuesday,2021,10,10:00am-10:59am,12,12,36.34775556,36.34775556,-76.31366111,-76.31366111,1,Daylight,1,Clear,2
37,North Carolina,370124,9,ASHE (9),2,February,26,26,6,Friday,2021,0,0:00am-0:59am,1,1,36.45248889,36.45248889,-81.55891667,-81.55891667,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370125,7,ANSON (7),2,February,5,5,6,Friday,2021,10,10:00am-10:59am,0,0,34.84607778,34.84607778,-80.09162778,-80.09162778,1,Daylight,2,Rain,1
37,North Carolina,370126,19,BRUNSWICK (19),2,February,27,27,7,Saturday,2021,15,3:00pm-3:59pm,5,5,33.92381667,33.92381667,-78.49798889,-78.49798889,1,Daylight,1,Clear,2
37,North Carolina,370127,19,BRUNSWICK (19),2,February,7,7,1,Sunday,2021,12,12:00pm-12:59pm,48,48,34.18091389,34.18091389,-78.08388056,-78.08388056,1,Daylight,1,Clear,1
37,North Carolina,370128,25,CABARRUS (25),2,February,13,13,7,Saturday,2021,21,9:00pm-9:59pm,9,9,35.49802778,35.49802778,-80.62390556,-80.62390556,3,Dark - Lighted,10,Cloudy,1
37,North Carolina,370129,25,CABARRUS (25),2,February,18,18,5,Thursday,2021,8,8:00am-8:59am,12,12,35.49128056,35.49128056,-80.55418333,-80.55418333,1,Daylight,2,Rain,1
37,North Carolina,370130,25,CABARRUS (25),2,February,21,21,1,Sunday,2021,2,2:00am-2:59am,0,0,35.47555556,35.47555556,-80.58042222,-80.58042222,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370131,31,CARTERET (31),2,February,16,16,3,Tuesday,2021,18,6:00pm-6:59pm,14,14,34.73380556,34.73380556,-76.81350556,-76.81350556,2,Dark - Not Lighted,1,Clear,1
37,North Carolina,370132,35,CATAWBA (35),2,February,17,17,4,Wednesday,2021,11,11:00am-11:59am,50,50,35.76548056,35.76548056,-81.15366111,-81.15366111,1,Daylight,1,Clear,2
37,North Carolina,370133,35,CATAWBA (35),2,February,24,24,4,Wednesday,2021,18,6:00pm-6:59pm,17,17,35.67044444,35.67044444,-81.19309167,-81.19309167,1,Daylight,1,Clear,1
