ST_CASE,STATENAME,COUNTYNAME,CITYNAME,PEDS,FATALS,Date,LATITUDE,LONGITUD
370298,North Carolina,WAKE ,RALEIGH,0,1,2021-03-30,35.89396111,-78.62250278
370299,North Carolina,WARREN ,NOT APPLICABLE,0,1,2021-03-28,36.34724722,-78.06983889
370300,North Carolina,WAYNE ,NOT APPLICABLE,0,1,2021-03-03,35.44898611,-78.11889722
370301,North Carolina,WILKES ,NOT APPLICABLE,0,1,2021-03-20,36.12544167,-81.11420278
370302,North Carolina,WILSON ,WILSON,0,1,2021-03-13,35.73473611,-77.94668333
370303,North Carolina,ALAMANCE ,BURLINGTON,0,2,2021-04-15,36.09067778,-79.40701944
370304,North Carolina,ANSON ,MORVEN,0,1,2021-04-10,34.85463056,-79.99444444
370305,North Carolina,BERTIE ,NOT APPLICABLE,0,1,2021-04-03,36.17644167,-76.95526944
370306,North Carolina,BLADEN ,NOT APPLICABLE,0,1,2021-04-04,34.67779444,-78.74124444
370308,North Carolina,BRUNSWICK ,NOT APPLICABLE,0,1,2021-04-10,34.06561389,-78.18823889
370309,North Carolina,BRUNSWICK ,NOT APPLICABLE,0,1,2021-04-16,33.98198333,-78.27069444
370310,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-04-11,35.54086389,-82.75346944
370311,North Carolina,BUNCOMBE ,ASHEVILLE,0,1,2021-04-12,35.43693889,-82.53655278
370312,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-04-15,35.61718056,-82.62371389
370313,North Carolina,BUNCOMBE ,ASHEVILLE,1,1,2021-04-06,35.62346944,-82.55477778
370314,North Carolina,BUNCOMBE ,NOT APPLICABLE,0,1,2021-04-26,35.70620833,-82.65074167
370315,North Carolina,BUNCOMBE ,ASHEVILLE,1,1,2021-04-26,35.59080556,-82.57093889
370316,North Carolina,CABARRUS ,NOT APPLICABLE,0,1,2021-04-24,35.2771,-80.57531667
370317,North Carolina,CASWELL ,YANCEYVILLE,0,1,2021-04-16,36.40378611,-79.33708056
370318,North Carolina,CALDWELL ,NOT APPLICABLE,0,1,2021-04-08,35.78426389,-81.35905556
370319,North Carolina,CLEVELAND ,SHELBY,1,1,2021-04-15,35.27855278,-81.54123056
370320,North Carolina,COLUMBUS ,NOT APPLICABLE,0,1,2021-04-02,34.195025,-78.73688056
370321,North Carolina,COLUMBUS ,NOT APPLICABLE,0,1,2021-04-16,34.35829167,-78.30591944
370322,North Carolina,COLUMBUS ,WHITEVILLE,0,1,2021-04-28,34.45866944,-78.77047778
370323,North Carolina,COLUMBUS ,LAKE WACCAMAW,0,1,2021-04-30,34.32988056,-78.50401111
370324,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-04-15,35.23478611,-77.07310556
370325,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-04-27,34.85568333,-76.76743333
370326,North Carolina,CRAVEN ,NOT APPLICABLE,0,1,2021-04-28,35.11018056,-76.95309444
370327,North Carolina,CUMBERLAND ,NOT APPLICABLE,1,1,2021-04-03,34.94256944,-78.76726111
370328,North Carolina,CUMBERLAND ,NOT APPLICABLE,1,1,2021-04-03,34.95654167,-78.92308333
370329,North Carolina,CUMBERLAND ,NOT APPLICABLE,0,1,2021-04-09,35.12383333,-78.75674167
370330,North Carolina,CUMBERLAND ,SPRING LAKE,1,1,2021-04-15,35.18220833,-78.98185833
370331,North Carolina,CUMBERLAND ,NOT APPLICABLE,0,1,2021-04-25,35.12305,-78.74067778
370332,North Carolina,DARE ,SOUTHERN SHORES,1,1,2021-04-16,36.11455556,-75.72006667
370333,North Carolina,DAVIDSON ,NOT APPLICABLE,1,1,2021-04-05,35.79681667,-80.21461389
370334,North Carolina,DAVIDSON ,LEXINGTON,0,1,2021-04-07,35.82650833,-80.27628889
370335,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-04-13,35.97208611,-80.26190278
370336,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-04-14,35.58641667,-80.15318333
370337,North Carolina,DAVIDSON ,NOT APPLICABLE,1,1,2021-04-13,35.80755,-80.184825
370338,North Carolina,DAVIDSON ,NOT APPLICABLE,0,2,2021-04-19,35.91854444,-80.24833611
370339,North Carolina,DAVIDSON ,NOT APPLICABLE,0,1,2021-04-20,35.78208056,-80.09319444
370340,North Carolina,DAVIE ,NOT APPLICABLE,0,1,2021-04-15,35.91013056,-80.67968611
370341,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-04-18,34.88196944,-78.05762778
370342,North Carolina,DUPLIN ,NOT APPLICABLE,0,1,2021-04-22,34.85943056,-78.06381111
370343,North Carolina,DURHAM ,DURHAM,0,1,2021-04-18,35.91923056,-78.80956667
370344,North Carolina,DURHAM ,DURHAM,0,1,2021-04-26,35.94002222,-78.90899167
370345,North Carolina,DURHAM ,DURHAM,0,1,2021-04-29,35.88630833,-78.88259722
370346,North Carolina,EDGECOMBE ,NOT APPLICABLE,0,1,2021-04-13,35.93309444,-77.66393889
370347,North Carolina,EDGECOMBE ,NOT APPLICABLE,0,1,2021-04-26,35.961775,-77.65771667
370348,North Carolina,FORSYTH ,CLEMMONS,0,1,2021-04-18,36.06433611,-80.38951667
370349,North Carolina,FORSYTH ,WINSTON SALEM,0,1,2021-04-11,36.06406944,-80.26551667
370350,North Carolina,FORSYTH ,WINSTON SALEM,1,1,2021-04-28,36.15868611,-80.31950833
370351,North Carolina,FORSYTH ,LEWISVILLE,0,1,2021-04-28,36.12082778,-80.38826667
370352,North Carolina,GASTON ,GASTONIA,0,1,2021-04-26,35.27185556,-81.16075556
370353,North Carolina,GATES ,NOT APPLICABLE,0,1,2021-04-09,36.54028333,-76.80946944
370354,North Carolina,GRAHAM ,NOT APPLICABLE,0,1,2021-04-17,35.36085833,-83.72826111
370355,North Carolina,GRANVILLE ,NOT APPLICABLE,1,1,2021-04-26,36.48526111,-78.70982222
370356,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-03,36.09784444,-79.81848889
370357,North Carolina,GUILFORD ,NOT APPLICABLE,0,1,2021-04-06,35.94894167,-79.89949722
370358,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-08,36.03920556,-79.85190833
370359,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-08,36.12158056,-79.84241944
370360,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-04,36.08413056,-79.76729444
370361,North Carolina,GUILFORD ,NOT APPLICABLE,0,1,2021-04-20,36.19105556,-79.59947778
370362,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-23,36.043425,-79.77608889
370363,North Carolina,GUILFORD ,GREENSBORO,0,1,2021-04-28,36.04648056,-79.7709
370364,North Carolina,GUILFORD ,NOT APPLICABLE,0,1,2021-04-20,35.91979722,-79.79820556
370365,North Carolina,HARNETT ,NOT APPLICABLE,0,2,2021-04-21,35.37498889,-79.11084167
370366,North Carolina,HAYWOOD ,NOT APPLICABLE,0,1,2021-04-22,35.55666944,-82.84935833
370367,North Carolina,HAYWOOD ,CANTON,0,1,2021-04-28,35.55185278,-82.85068889
370368,North Carolina,HAYWOOD ,NOT APPLICABLE,0,1,2021-04-27,35.52822778,-82.93630278
370369,North Carolina,HENDERSON ,NOT APPLICABLE,0,1,2021-04-22,35.27999722,-82.39715833
370370,North Carolina,HERTFORD ,NOT APPLICABLE,0,1,2021-04-13,36.33618333,-76.98383056
370371,North Carolina,HOKE ,RAEFORD,0,1,2021-04-24,34.97953611,-79.241275
370372,North Carolina,IREDELL ,NOT APPLICABLE,1,1,2021-04-01,36.03043056,-80.88902778
370373,North Carolina,IREDELL ,STATESVILLE,1,1,2021-04-06,35.77137222,-80.88973611
370374,North Carolina,IREDELL ,NOT APPLICABLE,0,1,2021-04-07,35.98215278,-80.94731111
370375,North Carolina,IREDELL ,NOT APPLICABLE,0,1,2021-04-17,35.59236111,-80.75698333
370376,North Carolina,JACKSON ,NOT APPLICABLE,0,1,2021-04-12,35.36946389,-83.252775
370377,North Carolina,JOHNSTON ,NOT APPLICABLE,0,2,2021-04-02,35.65836944,-78.30915556
370378,North Carolina,JOHNSTON ,NOT APPLICABLE,0,1,2021-04-23,35.71499167,-78.43061111
370379,North Carolina,JOHNSTON ,NOT APPLICABLE,0,2,2021-04-26,35.48448611,-78.60655
